21018929309,NVDA
35462342136,TSLA
10716778576,AAPL
8716541101,META
8841448308,PLTR
7821554075,MSFT
7391062054,AMZN
3875510364,AVGO
2828720124,AMD
3481518661,NFLX
3269559985,GOOG
2376095598,V
1770564953,COST
2211574341,LLY
2035363703,UNH
1841078602,JPM
786694539,IBM
1648122378,NOW
1570947771,WMT
873326737,ABBV
972417355,MA
2629846742,UBER
1375998405,BAC
2097154971,MU
849114080,C
877273792,VST
1958506497,XOM
1840416803,CRM
548313627,BLK
3655948971,INTC
674750977,GEV
1531057194,ADBE
1023868248,PG
988287112,T
781192599,NKE
874023979,CRWD
591059096,UPS
1283872717,ORCL
504197612,GM
1001956759,INTU
1266652882,MRK
1490083881,GS
806675983,PFE
621544129,F
775972687,AMGN
1109614778,TMO
937564971,QCOM
1883171239,CSCO
1457302724,DHR
777347702,LIN
612446914,DELL
6406500950,SMCI
1379146443,HD
999145845,BKNG
820853564,PANW
650361035,LRCX
1431674323,BA
965526296,TXN
554287847,CEG
1490569505,ANET
1036817109,CVX
585263332,VZ
997362059,CAT
585650863,DECK
958710906,PEP
875382310,ACN
657676347,ISRG
821073851,ETN
1674681237,GILD
515722112,VRTX
1202646134,JNJ
712315700,DIS
898653486,PYPL
703920553,NXPI
1065159863,WFC
660266219,UNP
821732523,SBUX
963333954,GE
793040027,SPGI
1201259920,AMAT
512902920,FDX
494672020,ADI
357732394,KLAC
822010024,TMUS
956706132,MCD
819692400,TGT
477437048,BMY
556751888,ELV
653591216,RTX
406600519,STZ
1788779924,KO
397430057,RCL
987309688,KKR
613798992,ABT
789801587,PM
642894941,MS
462148313,LULU
205603407,AZO
699744642,HON
289979566,IDXX
540036498,TT
429625301,TJX
356927197,AJG
310075188,BKR
857869765,REGN
567147837,LMT
478067963,ADP
377572827,NUE
329827803,AXON
971661043,DE
594031591,NEE
577140351,BSX
631148371,TPR
286817078,BDX
472231329,CMG
685911636,AXP
473797310,MCK
507019188,OXY
487157965,PSX
904317489,COF
641122041,CME
426054066,APD
295910791,CL
391677837,PCG
